============================================================
  ADS-B RECEIVER STATISTICS
============================================================
  Data points   : 362,666
  Unique aircraft: 760
  Date range    : 2025-11-20 to 2026-02-06
  Days of data  : 79
  Flight sessions: 8,432

------------------------------------------------------------
  TOP 760 — TIME IN AIRSPACE (cumulative observed time)
------------------------------------------------------------
  330. N585GC                  39s   (1 sessions)
  331. N514TX                  39s   (1 sessions)
  332. N5033J                  39s   (2 sessions)
  333. CXK174                  39s   (2 sessions)
  334. LXJ474                  39s   (1 sessions)
  335. TG57                    38s   (1 sessions)
  336. N121TS                  38s   (1 sessions)
  337. EJA533                  38s   (1 sessions)
  338. N272SP                  38s   (1 sessions)
  339. N185HJ                  38s   (1 sessions)
  340. N930J                   38s   (1 sessions)
  341. LXJ596                  38s   (1 sessions)
  342. N761JK                  38s   (3 sessions)
  343. EJA314                  38s   (1 sessions)
  344. N24PH                   38s   (1 sessions)
  345. N971MB                  37s   (1 sessions)
  346. N988NW                  37s   (1 sessions)
  347. NJM608                  37s   (1 sessions)
  348. N98FF                   37s   (2 sessions)
  349. N21LX                   37s   (1 sessions)
  350. N443CS                  37s   (1 sessions)
  351. N555BG                  37s   (2 sessions)
  352. N61TY                   37s   (3 sessions)
  353. EJA333                  36s   (1 sessions)
  354. CAP543                  36s   (1 sessions)
  355. N707WY                  36s   (2 sessions)
  356. N189BL                  36s   (1 sessions)
  357. N100DD                  36s   (1 sessions)
  358. N90CG                   36s   (1 sessions)
  359. N404BC                  36s   (1 sessions)
  360. N850TB                  36s   (1 sessions)
  361. N523DM                  36s   (1 sessions)
  362. N806LR                  36s   (1 sessions)
  363. N350HN                  36s   (2 sessions)
  364. N772XJ                  36s   (2 sessions)
  365. EJM134                  35s   (1 sessions)
  366. EJA417                  35s   (2 sessions)
  367. EJA760                  35s   (1 sessions)
  368. LXJ303                  35s   (1 sessions)
  369. N660S                   35s   (2 sessions)
  370. N555WP                  35s   (1 sessions)
  371. N415HS                  35s   (1 sessions)
  372. N9133F                  35s   (3 sessions)
  373. N9614H                  35s   (1 sessions)
  374. N68MJ                   35s   (1 sessions)
  375. N203RF                  35s   (1 sessions)
  376. N976DP                  35s   (1 sessions)
  377. PRE31                   35s   (2 sessions)
  378. EJA414                  35s   (1 sessions)
  379. N3804C                  35s   (2 sessions)
  380. N612RM                  34s   (1 sessions)
  381. LXJ598                  34s   (1 sessions)
  382. JTL321                  34s   (1 sessions)
  383. N697RM                  34s   (1 sessions)
  384. N110DK                  34s   (1 sessions)
  385. TG24                    34s   (1 sessions)
  386. N960RR                  34s   (1 sessions)
  387. PRE54                   34s   (1 sessions)
  388. N394SP                  34s   (1 sessions)
  389. N611MB                  34s   (2 sessions)
  390. N401LX                  34s   (1 sessions)
  391. VPCIP                   34s   (1 sessions)
  392. N108DB                  34s   (1 sessions)
  393. N686MA                  34s   (1 sessions)
  394. N978AH                  33s   (1 sessions)
  395. EJA910                  33s   (1 sessions)
  396. EJA544                  33s   (1 sessions)
  397. N118NG                  33s   (1 sessions)
  398. N930ML                  33s   (2 sessions)
  399. N707NG                  33s   (1 sessions)
  400. EJA529                  33s   (1 sessions)
  401. PCH1                    33s   (1 sessions)
  402. SJJ209                  33s   (1 sessions)
  403. N98306                  33s   (2 sessions)
  404. N339JM                  33s   (1 sessions)
  405. N26EV                   33s   (1 sessions)
  406. N888GX                  33s   (1 sessions)
  407. N8300J                  33s   (1 sessions)
  408. N408DH                  32s   (1 sessions)
  409. N201AH                  32s   (1 sessions)
  410. IJA30                   32s   (1 sessions)
  411. N185EE                  32s   (1 sessions)
  412. EJA530                  32s   (1 sessions)
  413. COL1953                 32s   (1 sessions)
  414. N2079X                  32s   (1 sessions)
  415. N960F                   32s   (1 sessions)
  416. N22265                  32s   (1 sessions)
  417. N989AR                  32s   (1 sessions)
  418. N6824P                  32s   (1 sessions)
  419. KFS171                  31s   (1 sessions)
  420. EJA917                  31s   (1 sessions)
  421. EJM188                  31s   (1 sessions)
  422. N3939X                  31s   (1 sessions)
  423. N331JK                  31s   (2 sessions)
  424. N18KS                   31s   (1 sessions)
  425. EJA361                  31s   (1 sessions)
  426. N259PC                  31s   (1 sessions)
  427. N729HZ                  31s   (1 sessions)
  428. TCN717                  31s   (1 sessions)
  429. N78RK                   31s   (1 sessions)
  430. NJM998                  31s   (1 sessions)
  431. N364AE                  31s   (1 sessions)
